Name,orignal_price,snapdeal_price,discount
ASIAN  Grey Men's Sports Running Shoes,Rs. 649,Rs.  519,20% Off
FITMonkey - White Men's Slip-on Shoes,"Rs. 1,799",Rs.  899,50% Off
FITMonkey - Black Men's Sneakers,"Rs. 1,999",Rs.  999,50% Off
ASIAN  Grey Men's Sports Running Shoes,"Rs. 1,999","Rs.  1,025",49% Off
JQR - RAISE Black Men's Sports Running Shoes,Rs. 999,Rs.  875,12% Off
UrbanMark - Navy Men's Slip-on Shoes,"Rs. 1,499",Rs.  709,53% Off
UrbanMark - Black Men's Slip-on Shoes,"Rs. 1,499",Rs.  709,53% Off
ASIAN - Innova-03 Blue Men's Sports Running Shoes,"Rs. 1,999","Rs.  1,025",49% Off
UrbanMark - Olive Men's Slip-on Shoes,"Rs. 1,499",Rs.  709,53% Off
FITMonkey - Navy Men's Sneakers,"Rs. 1,999",Rs.  999,50% Off
UrbanMark - Blue Men's Slip-on Shoes,"Rs. 1,499",Rs.  799,47% Off
ASIAN Black Training Shoes,Rs. 699,Rs.  499,29% Off
JQR - RTGSs Gray Men's Sports Running Shoes,"Rs. 1,599","Rs.  1,249",22% Off
FITMonkey - Gray Men's Trekking Shoes,"Rs. 1,999",Rs.  999,50% Off
ASIAN  Blue  Men's Sports Running Shoes,"Rs. 1,499",Rs.  599,60% Off
Action  Black  Men's Sports Running Shoes,"Rs. 2,799","Rs.  1,299",54% Off
FITMonkey - Olive Men's Slip-on Shoes,"Rs. 1,799",Rs.  799,56% Off
FITMonkey - Gray Men's Slip-on Shoes,"Rs. 1,799",Rs.  799,56% Off
UrbanMark - Olive Men's Slip-on Shoes,"Rs. 1,499",Rs.  709,53% Off
UrbanMark - Black Men's Slip-on Shoes,"Rs. 1,499",Rs.  798,47% Off
